Date,APA,BKR,COP,CTRA,CVX,DVN,EOG,EQT,HAL,KMI,MPC,OXY,SLB,VLO,WMB,XOM
2022-01-04,25.97357940673828,23.228784561157227,66.46322631835938,17.097238540649414,103.32897186279297,39.311378479003906,79.32926940917969,21.050464630126953,23.42891502380371,13.218055725097656,61.90968704223633,31.681507110595703,30.39918327331543,69.11752319335938,22.451778411865234,57.19871520996094
2022-01-05,25.03902816772461,23.310482025146484,65.32339477539062,16.893020629882812,104.00120544433594,38.44530487060547,77.87330627441406,20.374141693115234,23.198585510253906,13.289804458618164,62.30227279663086,30.191389083862305,30.39918327331543,68.8446044921875,22.502153396606445,57.910118103027344
2022-01-06,26.114643096923828,23.555570602416992,67.77572631835938,16.71330451965332,104.88617706298828,39.89700698852539,79.47071075439453,20.458681106567383,23.594749450683594,13.56883430480957,64.04608154296875,31.093050003051758,31.121240615844727,70.57012176513672,23.039522171020508,59.27220916748047
2022-01-07,26.158727645874023,23.709882736206055,69.63226318359375,17.60370445251465,106.39231872558594,40.32592010498047,81.66714477539062,21.426193237304688,23.972484588623047,13.768144607543945,64.75819396972656,31.5201473236084,32.016944885253906,71.30962371826172,23.518108367919922,59.7580451965332
2022-01-10,25.938316345214844,23.66449546813965,69.96900939941406,17.448495864868164,106.46041107177734,40.004241943359375,81.58394622802734,21.604671478271484,23.81586265563965,13.895699501037598,64.31996154785156,30.732385635375977,32.09920883178711,71.3360366821289,23.467729568481445,59.402339935302734
2022-01-11,28.21298599243164,24.472373962402344,72.17955017089844,17.358640670776367,108.8940658569336,41.076507568359375,85.02832794189453,22.10251808166504,25.096479415893555,14.039196968078613,66.36506652832031,32.93434143066406,33.34222412109375,73.81867218017578,24.240192413330078,61.90092468261719
2022-01-12,28.786062240600586,24.26359748840332,72.87899780273438,18.412412643432617,108.34947967529297,41.159000396728516,85.50255584716797,23.16396141052246,25.280744552612305,14.071089744567871,66.72113800048828,32.981788635253906,33.31481170654297,74.2764663696289,24.517274856567383,61.71874237060547
2022-01-13,28.292333602905273,23.846044540405273,72.20545959472656,17.840595245361328,107.89847564697266,40.94453048706055,85.48579406738281,22.083728790283203,25.732189178466797,14.007312774658203,66.75765228271484,32.41233444213867,33.05889129638672,73.38728332519531,24.290569305419922,61.276283264160156
2022-01-14,29.350322723388672,24.92624282836914,74.8995590209961,18.134675979614258,109.73650360107422,41.56315612792969,88.52808380126953,22.346744537353516,26.47844886779785,14.262423515319824,68.23670196533203,33.70311737060547,34.55782699584961,75.00716400146484,24.59284019470215,62.3520622253418
2022-01-18,29.068193435668945,24.32713508605957,75.56446075439453,17.824262619018555,110.09388732910156,41.53840637207031,88.56159973144531,21.29469108581543,26.349464416503906,14.11095142364502,68.063232421875,34.196659088134766,34.31106185913086,75.39452362060547,24.844728469848633,63.40182876586914
2022-01-19,28.548019409179688,23.86419677734375,75.36587524414062,17.056394577026367,109.69395446777344,40.358909606933594,88.10903930664062,20.85320281982422,26.146774291992188,13.895699501037598,66.96764373779297,34.0068359375,33.908897399902344,74.13558959960938,24.37453842163086,63.427852630615234
2022-01-20,27.65851593017578,24.2545223236084,73.94109344482422,16.362051010131836,109.3025131225586,40.11146545410156,86.74296569824219,19.838722229003906,25.925661087036133,13.895699501037598,65.72598266601562,33.1716194152832,33.86319351196289,71.67058563232422,24.15622901916504,63.566654205322266
2022-01-21,26.64068603515625,24.72654151916504,71.42832946777344,15.790237426757812,107.99208068847656,38.0411376953125,84.33760833740234,19.312694549560547,25.37287712097168,13.847867012023926,64.54822540283203,32.032676696777344,33.232547760009766,69.80419921875,24.14783477783203,62.612342834472656
2022-01-24,27.030115127563477,24.57222557067871,71.6873779296875,15.953612327575684,108.22183227539062,39.864013671875,85.74560546875,19.39723777770996,26.340253829956055,13.808005332946777,64.26520538330078,32.279441833496094,33.451904296875,69.18793487548828,23.73641014099121,63.15024185180664
2022-01-25,29.269351959228516,25.352874755859375,75.21907043457031,16.62345314025879,112.82540130615234,42.280757904052734,89.62600708007812,18.880605697631836,28.18287467956543,13.951505661010742,65.27859497070312,34.89901351928711,35.453529357910156,71.45048522949219,24.324153900146484,65.00684356689453
2022-01-26,29.304752349853516,24.980701446533203,75.1758804321289,16.558101654052734,112.9104995727539,42.71792221069336,90.12049865722656,18.542442321777344,28.376346588134766,13.967448234558105,64.80386352539062,35.174251556396484,36.37665557861328,71.57374572753906,24.52566909790039,64.34748840332031
2022-01-27,29.163143157958984,24.781005859375,77.42098236083984,17.146249771118164,115.19096374511719,42.67668151855469,91.98104858398438,19.049678802490234,28.40398597717285,13.93556022644043,65.6438217163086,35.364070892333984,35.51750946044922,72.17237091064453,24.660011291503906,65.17166137695312
2022-01-28,29.357852935791016,24.6539249420166,77.0410385131836,17.66905403137207,111.1405258178711,42.519962310791016,91.93914794921875,19.857507705688477,28.89227867126465,13.927464485168457,65.5525131225586,35.658302307128906,36.26698303222656,71.67058563232422,24.886709213256836,65.31047058105469
2022-01-31,29.393260955810547,24.9080867767334,76.52294921875,17.889606475830078,111.7531967163086,41.71162796020508,93.43094635009766,19.96083641052246,28.32106590270996,14.057021141052246,65.50688171386719,35.753211975097656,35.70944595336914,73.0439453125,25.138599395751953,65.9004135131836
2022-02-01,30.720863342285156,24.96254539489746,79.04435729980469,18.126502990722656,114.69744110107422,43.3530387878418,94.85572814941406,20.468076705932617,28.901493072509766,14.09750747680664,67.57933044433594,37.29078674316406,36.12074661254883,76.19566345214844,25.625587463378906,70.1254653930664
