Date,CMCSA,DIS,EA,FOXA,GOOG,GOOGL,LYV,META,MTCH,NFLX,NWSA,PSKY,T,TMUS,TTD,VZ,WBD
2022-01-04,44.65470886230469,153.1764373779297,132.83213806152344,36.00750732421875,143.43495178222656,143.41038513183594,120.72000122070312,334.4681091308594,129.91514587402344,59.1150016784668,21.783742904663086,30.165019989013672,15.221382141113281,110.19403076171875,85.36000061035156,41.42390823364258,26.75
2022-01-05,44.681400299072266,152.64529418945312,130.91439819335938,35.666114807128906,136.71791076660156,136.83123779296875,117.47000122070312,322.183837890625,122.63631439208984,56.75199890136719,21.050867080688477,29.863834381103516,15.559769630432129,111.44996643066406,79.63999938964844,41.84999465942383,26.450000762939453
2022-01-06,44.93941116333008,154.32723999023438,126.89303588867188,36.4437255859375,136.61610412597656,136.80393981933594,119.33999633789062,330.4230651855469,123.16390228271484,55.32899856567383,21.72588539123535,29.863834381103516,15.500399589538574,111.6528549194336,76.93000030517578,41.64857482910156,25.719999313354492
2022-01-07,44.5301513671875,155.2420196533203,128.93797302246094,37.003231048583984,136.0733184814453,136.07846069335938,115.86000061035156,329.75714111328125,122.39205169677734,54.10599899291992,21.696956634521484,32.300758361816406,16.029943466186523,106.02044677734375,78.94000244140625,42.526710510253906,30.059999465942383
2022-01-10,44.94831085205078,154.0321807861328,126.12010192871094,37.01271438598633,137.63214111328125,137.71961975097656,115.31999969482422,326.0599365234375,123.65241241455078,53.98500061035156,21.43659019470215,31.862651824951172,16.13359832763672,102.1560287475586,81.0,42.236602783203125,28.59000015258789
2022-01-11,45.499935150146484,155.301025390625,127.97911834716797,36.936859130859375,139.06582641601562,138.77882385253906,116.0,332.3212890625,123.10528564453125,54.08399963378906,21.648738861083984,31.908294677734375,16.060428619384766,107.2087631225586,84.87999725341797,42.01707458496094,28.68000030517578
2022-01-12,45.330894470214844,155.21250915527344,129.64244079589844,37.259281158447266,140.68524169921875,140.46170043945312,114.0,331.2181396484375,121.2293930053711,53.72200012207031,21.80302619934082,31.91742515563965,16.127498626708984,107.09282684326172,82.38999938964844,41.90730285644531,28.790000915527344
2022-01-13,45.624488830566406,152.89117431640625,128.0182647705078,37.99896240234375,138.18536376953125,137.63771057128906,113.87000274658203,324.47967529296875,120.3696060180664,51.91999816894531,22.140533447265625,33.03092956542969,16.340909957885742,106.38758087158203,75.76000213623047,41.962188720703125,29.34000015258789
2022-01-14,45.98037338256836,149.44857788085938,127.6268539428711,38.89985656738281,138.83641052246094,138.5250701904297,114.80999755859375,329.866455078125,118.36670684814453,52.569000244140625,21.909101486206055,33.605934143066406,16.572607040405273,104.84181213378906,75.47000122070312,41.774017333984375,31.18000030517578
2022-01-18,44.64581298828125,149.77317810058594,131.02206420898438,37.83775329589844,135.36415100097656,135.06643676757812,115.20999908447266,316.2007141113281,113.20801544189453,51.08000183105469,21.398019790649414,32.136470794677734,16.651874542236328,103.286376953125,71.0,41.891624450683594,29.639999389648438
2022-01-19,44.779266357421875,147.6486053466797,133.9573516845703,37.61015319824219,134.73001098632812,134.1909637451172,113.27999877929688,317.63189697265625,113.59881591796875,51.58599853515625,21.243728637695312,32.00870132446289,16.633583068847656,101.80823516845703,69.0,41.946510314941406,28.579999923706055
2022-01-20,44.681400299072266,145.1994171142578,135.88487243652344,36.21613311767578,132.59910583496094,132.3943634033203,112.44000244140625,314.6204528808594,115.93392181396484,50.82500076293945,20.973724365234375,30.785663604736328,16.475051879882812,100.5329818725586,67.7300033569336,41.868099212646484,27.489999771118164
2022-01-21,44.24544143676758,135.12733459472656,136.01205444335938,35.741973876953125,129.20779418945312,129.45863342285156,109.73999786376953,301.3125305175781,113.1786880493164,39.75,20.674787521362305,28.522146224975586,16.225055694580078,98.1756820678711,59.45000076293945,41.679931640625,26.190000534057617
2022-01-24,44.54794692993164,135.20603942871094,132.2842254638672,37.06961441040039,129.4858856201172,129.9080352783203,108.81999969482422,306.8185119628906,114.55630493164062,38.71500015258789,21.214797973632812,29.708667755126953,16.060428619384766,103.03518676757812,65.33000183105469,41.52311706542969,26.8799991607666
2022-01-25,44.192054748535156,134.27157592773438,128.18458557128906,37.13599395751953,125.87409973144531,126.06551361083984,106.12000274658203,298.31097412109375,109.13380432128906,36.641998291015625,20.906219482421875,29.991605758666992,16.14579200744629,102.08839416503906,62.66999816894531,41.4760856628418,26.860000610351562
2022-01-26,43.115501403808594,131.4093017578125,127.17679595947266,36.073890686035156,128.36160278320312,128.34776306152344,104.7300033569336,292.8247985839844,107.63895416259766,35.970001220703125,20.597640991210938,28.905487060546875,14.786083221435547,100.68756103515625,61.459999084472656,40.0020751953125,24.399999618530273
2022-01-27,42.71513366699219,133.199462890625,128.2335205078125,36.273033142089844,128.24339294433594,128.12132263183594,101.63999938964844,292.83477783203125,104.05327606201172,38.66999816894531,20.327634811401367,28.66817855834961,14.706816673278809,102.43620300292969,60.16999816894531,40.13536071777344,25.239999771118164
2022-01-28,44.23654556274414,136.35684204101562,129.074951171875,38.02741622924805,132.38356018066406,132.43756103515625,105.2699966430664,299.8614196777344,106.7107925415039,38.43600082397461,20.983366012573242,30.09200668334961,15.371430397033691,104.9674072265625,63.599998474121094,41.4760856628418,27.149999618530273
2022-01-31,44.476768493652344,140.6256866455078,129.79904174804688,38.51105499267578,134.7761993408203,134.37667846679688,109.51000213623047,311.3406982421875,110.11083221435547,42.7140007019043,21.44623374938965,30.53010368347168,15.548253059387207,104.503662109375,69.54000091552734,41.73481750488281,27.90999984741211
