Date,ADM,CAG,CL,COST,CPB,DG,DLTR,EL,GIS,HRL,K,KDP,KHC,KMB,KO,KR,MDLZ,MNST,MO,PEP,PG,PM,SYY,TAP,TGT,TSN,WMT
2022-07-18,65.28470611572266,28.092605590820312,70.91514587402344,493.78594970703125,42.314788818359375,228.64990234375,169.5,231.38198852539062,64.86456298828125,42.41537094116211,59.73093795776367,32.90316390991211,32.4182243347168,115.841552734375,55.529754638671875,43.96441650390625,54.72401428222656,47.5099983215332,31.899335861206055,150.44332885742188,131.06980895996094,75.90888977050781,78.51689147949219,52.08720397949219,132.90196228027344,72.77503967285156,41.04742431640625
2022-07-19,66.43651580810547,28.126243591308594,71.2921371459961,497.54461669921875,42.52556610107422,229.7737579345703,170.2100067138672,240.44822692871094,65.23295593261719,42.728759765625,59.93084716796875,33.19435119628906,32.67973327636719,115.99065399169922,56.3223876953125,43.75167465209961,55.96319580078125,48.130001068115234,32.4200553894043,152.052734375,131.73744201660156,77.53714752197266,79.43527221679688,52.49951934814453,136.46116638183594,74.21488189697266,41.299251556396484
2022-07-20,67.10243225097656,27.857173919677734,69.9506607055664,501.3414611816406,42.20060729980469,230.6259765625,173.32000732421875,242.70770263671875,64.38214111328125,42.28105163574219,58.73139953613281,33.03966522216797,32.27482223510742,115.21000671386719,55.39463806152344,43.6591682434082,55.99052047729492,48.20000076293945,31.937070846557617,150.44332885742188,129.4601287841797,76.18026733398438,80.22634887695312,51.88999557495117,139.25514221191406,73.19276428222656,41.64350891113281
2022-07-21,66.60751342773438,27.899211883544922,70.45950317382812,506.3721618652344,41.81417465209961,231.26278686523438,171.67999267578125,247.19847106933594,64.11898803710938,42.334774017333984,58.506500244140625,33.01236343383789,32.0133171081543,114.50830078125,55.26853942871094,42.808189392089844,55.8994140625,47.8849983215332,32.27666473388672,150.66685485839844,129.58253479003906,79.36893463134766,79.0351791381836,51.25358963012695,141.17715454101562,73.07723236083984,42.252349853515625
2022-07-22,66.44552612304688,28.27759552001953,71.67146301269531,506.6207580566406,42.024959564208984,232.07754516601562,172.00999450683594,244.8730926513672,64.58386993408203,42.61235809326172,59.256160736083984,33.14884948730469,32.325435638427734,116.13096618652344,55.4757080078125,42.77119064331055,56.48255157470703,47.53499984741211,32.51815414428711,151.65040588378906,131.65371704101562,81.35336303710938,78.98062896728516,51.90792465209961,140.35853576660156,72.95280456542969,42.14397048950195
2022-07-25,68.04727172851562,28.47939682006836,72.02300262451172,506.0661315917969,42.69244384765625,231.99325561523438,168.4199981689453,243.5456085205078,65.1277084350586,42.773529052734375,60.0557975769043,33.449127197265625,32.37605285644531,117.0256576538086,56.016143798828125,42.280948638916016,57.184139251708984,47.91999816894531,33.076602935791016,151.86495971679688,132.54666137695312,81.27705383300781,79.88990020751953,52.1858024597168,140.1361083984375,74.38378143310547,42.083412170410156
2022-07-26,71.01679992675781,28.437355041503906,72.65210723876953,489.6065673828125,43.03496551513672,226.06515502929688,157.82000732421875,237.0778350830078,65.2680435180664,43.11378860473633,60.73047637939453,33.73122024536133,32.59537887573242,117.50804901123047,56.93488693237305,42.56769561767578,57.348148345947266,47.94499969482422,33.310550689697266,153.63534545898438,132.80441284179688,81.86219787597656,78.3623046875,52.096160888671875,135.0819549560547,74.84593963623047,38.88300323486328
2022-07-27,72.39358520507812,28.0673828125,72.86490631103516,499.5339660644531,42.64852523803711,228.93087768554688,161.1300048828125,247.9987030029297,64.75052642822266,43.212276458740234,60.14740753173828,33.76760482788086,30.655168533325195,115.82398986816406,56.754737854003906,42.49369430541992,57.97684860229492,48.69499969482422,33.25771713256836,153.42071533203125,134.06553649902344,82.22686004638672,78.53507232666016,52.8132438659668,137.56451416015625,76.1524887084961,40.352516174316406
2022-07-28,71.40373229980469,28.580303192138672,73.26271057128906,513.6842041015625,43.14035415649414,229.58639526367188,163.33999633789062,255.40797424316406,65.43470764160156,44.09872817993164,61.02201461791992,35.03240966796875,31.37220001220703,116.88529968261719,57.700496673583984,42.586185455322266,58.49620056152344,49.45500183105469,33.20490264892578,156.32662963867188,136.293212890625,82.40494537353516,79.36251068115234,52.920814514160156,141.8534393310547,77.50344848632812,41.35981369018555
2022-07-29,74.48124694824219,28.765277862548828,72.84638977050781,518.5894165039062,43.34235382080078,232.65821838378906,165.36000061035156,257.1120300292969,65.60136413574219,44.179317474365234,61.57175827026367,35.25080490112305,31.06852149963379,115.59593963623047,57.79957580566406,42.95619201660156,58.35042190551758,49.810001373291016,33.099246978759766,156.43386840820312,127.87039184570312,82.38799285888672,77.19841766357422,53.557220458984375,145.37705993652344,78.22340393066406,42.09297561645508
