Date,A,ABBV,ABT,AMGN,BAX,BDX,BIIB,BMY,BSX,CAH,CI,CNC,COO,COR,CVS,DGX,DHR,DXCM,ELV,EW,GILD,HCA,HOLX,HSIC,HUM,INCY,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MRNA,PFE,SYK,TECH,TMO,UNH,VRTX,VTRS,ZBH,ZTS
2021-01-05,115.59722900390625,87.63665771484375,100.92070770263672,194.58224487304688,72.98886108398438,225.95245361328125,246.38999938964844,50.47161102294922,36.2400016784668,47.07786560058594,186.1073760986328,61.06999969482422,90.32347106933594,88.59794616699219,59.922508239746094,110.35576629638672,198.4070587158203,92.1875,294.4332275390625,88.44000244140625,49.51959228515625,158.0227813720703,76.0199966430664,67.77999877929688,394.6771545410156,85.87000274658203,179.33999633789062,268.3500061035156,137.3739776611328,157.83419799804688,170.4503936767578,101.44229888916016,66.02666473388672,109.18000030517578,29.14069938659668,227.60992431640625,77.61475372314453,471.48797607421875,317.8151550292969,228.5800018310547,14.795188903808594,145.20997619628906,157.49049377441406
2021-01-06,118.76716613769531,86.87960052490234,100.7105941772461,199.2725067138672,72.73723602294922,228.30169677734375,247.75,50.59461212158203,36.7599983215332,48.79720687866211,191.59642028808594,67.66000366210938,91.53287506103516,96.21976470947266,61.70844268798828,113.95452117919922,204.98097229003906,93.9800033569336,306.7861022949219,87.19999694824219,51.12897872924805,163.33778381347656,78.02999877929688,69.55999755859375,418.2232666015625,84.30999755859375,186.25,264.2633361816406,138.66671752929688,155.9362030029297,173.68264770507812,103.09904479980469,67.06876373291016,116.26000213623047,28.889965057373047,230.2596435546875,81.02050018310547,478.880126953125,331.1526794433594,226.64999389648438,15.113978385925293,149.347900390625,159.8041229248047
2021-01-07,121.9274673461914,87.80943298339844,101.68818664550781,199.93035888671875,73.23149108886719,228.1757049560547,250.44000244140625,51.13581848144531,36.560001373291016,49.9050178527832,201.72378540039062,69.75,91.22052764892578,99.80860900878906,62.92458724975586,112.35002899169922,207.89503479003906,96.79000091552734,315.2519226074219,89.44000244140625,51.59941482543945,166.24908447265625,77.97000122070312,70.01000213623047,427.6418151855469,90.05000305175781,188.05999755859375,269.4033203125,139.1352081298828,157.369140625,177.6527862548828,102.96025085449219,68.40394592285156,115.08999633789062,29.038837432861328,231.46580505371094,82.23002624511719,493.80291748046875,336.4618225097656,232.89999389648438,15.138504028320312,148.46253967285156,159.6607666015625
2021-01-08,122.79725646972656,88.270263671875,101.97142028808594,203.7492218017578,73.42021179199219,229.57981872558594,252.5399932861328,51.24242401123047,36.75,49.550514221191406,201.9982452392578,68.20999908447266,90.76325225830078,99.71798706054688,63.66447448730469,111.47074890136719,211.17333984375,97.02249908447266,314.97161865234375,90.66999816894531,52.028587341308594,164.98497009277344,80.48999786376953,72.0999984741211,417.21075439453125,93.83000183105469,191.0800018310547,272.9166564941406,138.84890747070312,157.91958618164062,178.16722106933594,103.83633422851562,67.59794616699219,112.75,29.093687057495117,231.40878295898438,80.68017578125,505.6167297363281,334.95025634765625,237.0,14.958671569824219,148.13633728027344,160.72198486328125
2021-01-11,123.85070037841797,89.71031188964844,101.26789855957031,202.96327209472656,74.11216735839844,231.42503356933594,267.5199890136719,53.27605056762695,36.439998626708984,49.39986038208008,201.19320678710938,68.68000030517578,89.86868286132812,97.28914642333984,64.69351959228516,112.06903076171875,211.71975708007812,92.66000366210938,316.55078125,89.37000274658203,51.591163635253906,164.11349487304688,78.5199966430664,72.37999725341797,414.12548828125,93.31999969482422,191.44000244140625,271.2166748046875,138.26760864257812,176.453125,178.0216064453125,102.78677368164062,69.20182800292969,117.26000213623047,29.59516716003418,229.68983459472656,81.97783660888672,506.6530456542969,332.516845703125,234.63999938964844,15.097630500793457,148.18295288085938,161.9457244873047
2021-01-12,122.71028900146484,90.33570861816406,99.44060516357422,202.1259765625,72.3957290649414,236.7986297607422,267.3900146484375,53.65324401855469,35.33000183105469,49.62141418457031,206.04188537597656,68.13999938964844,89.4588851928711,96.53693389892578,64.85508728027344,114.41683959960938,208.7449493408203,90.0425033569336,312.8224792480469,87.8499984741211,51.23627471923828,164.9466552734375,77.6500015258789,73.79000091552734,403.5511169433594,94.30999755859375,189.4199981689453,262.80999755859375,137.19178771972656,169.67742919921875,177.89544677734375,101.73722076416016,67.64681243896484,124.55000305175781,29.13286590576172,227.1825714111328,81.77950286865234,492.2633361816406,329.4013977050781,229.3800048828125,14.909626007080078,148.95645141601562,158.8194122314453
2021-01-13,122.71995544433594,92.53277587890625,102.46476745605469,203.10845947265625,74.04927062988281,236.7356414794922,266.6700134277344,53.07923889160156,36.060001373291016,49.09853744506836,204.75193786621094,66.51000213623047,95.39350128173828,95.72129821777344,63.71550750732422,113.71883392333984,208.0078125,90.63749694824219,308.7578125,89.26000213623047,50.79058837890625,163.25161743164062,77.8499984741211,73.87999725341797,397.3900451660156,92.73999786376953,189.36000061035156,270.48333740234375,136.9835662841797,176.03558349609375,178.0216064453125,102.97760772705078,67.03620147705078,124.05999755859375,28.882129669189453,230.971923828125,80.93968963623047,495.1649475097656,327.25372314453125,227.10000610351562,15.040409088134766,151.86419677734375,154.83265686035156
2021-01-14,121.80181884765625,92.93238067626953,100.94200897216797,206.4574432373047,71.93744659423828,232.0191192626953,280.2900085449219,54.13705825805664,36.15999984741211,49.089664459228516,201.9799346923828,65.02999877929688,93.74180603027344,95.73942565917969,63.82606887817383,113.28372192382812,205.28453063964844,88.0199966430664,301.3665771484375,87.48999786376953,51.50038146972656,161.144775390625,76.4800033569336,73.02999877929688,386.863525390625,92.04000091552734,188.11000061035156,265.71331787109375,139.37815856933594,177.1648406982422,177.4586639404297,102.15357971191406,66.89778137207031,129.72000122070312,28.795928955078125,229.9557342529297,82.56055450439453,490.4276428222656,323.0967102050781,226.1199951171875,14.149430274963379,151.55667114257812,153.8861846923828
2021-01-15,121.97579193115234,92.0082778930664,102.09785461425781,209.7295379638672,71.92841339111328,235.5924835205078,275.8399963378906,54.5634651184082,36.33000183105469,49.133975982666016,200.26004028320312,63.9900016784668,94.17659759521484,96.79070281982422,64.85508728027344,112.75794219970703,205.32791137695312,88.55000305175781,305.0107727050781,87.87000274658203,52.26792526245117,161.62356567382812,76.0999984741211,71.45999908447266,388.5924377441406,90.55999755859375,187.7899932861328,259.47332763671875,139.07447814941406,181.03668212890625,179.01170349121094,101.32087707519531,67.88288116455078,129.64999389648438,28.756750106811523,229.82276916503906,85.13385009765625,496.5763244628906,323.8063659667969,225.5500030517578,13.936902046203613,149.2267303466797,154.4598388671875
2021-01-19,123.0775375366211,93.3902587890625,103.26284790039062,212.10455322265625,70.84105682373047,234.71945190429688,273.8399963378906,54.72745895385742,36.27000045776367,48.575645446777344,201.9982452392578,62.790000915527344,96.80781555175781,93.79999542236328,64.12371063232422,114.72483825683594,204.77285766601562,89.41000366210938,302.45977783203125,87.91000366210938,55.35466003417969,159.06666564941406,75.98999786376953,70.43000030517578,389.0700988769531,93.95999908447266,188.97000122070312,259.4700012207031,141.2261199951172,188.3533172607422,177.11888122558594,102.6219711303711,67.72821807861328,125.01000213623047,28.78026008605957,229.8987579345703,86.1303482055664,500.7609558105469,324.626708984375,231.91000366210938,14.255698204040527,149.04966735839844,155.6663360595703
