Date,AEP,AES,CMS,CNP,D,DUK,ED,EIX,ES,ETR,EXC,FE,NEE,NI,NRG,PCG,PEG,PPL,SO,SRE,VST,XEL
2021-01-05,67.80653381347656,19.97965431213379,50.22753143310547,18.95525360107422,58.595157623291016,73.77754211425781,58.40126419067383,48.064849853515625,70.2894287109375,40.207515716552734,24.564151763916016,24.27022361755371,65.7957763671875,19.00456428527832,31.79764747619629,12.238104820251465,47.14118194580078,22.775253295898438,49.453346252441406,52.61616897583008,17.824298858642578,55.48004913330078
2021-01-06,68.34778594970703,20.778175354003906,51.23979568481445,19.2891845703125,59.84733581542969,74.73108673095703,59.64669418334961,49.49549102783203,73.60076904296875,40.84369659423828,25.364831924438477,24.644359588623047,69.01647186279297,19.426517486572266,32.151817321777344,12.238104820251465,48.13068389892578,23.187698364257812,50.6617431640625,52.786720275878906,18.246976852416992,56.708778381347656
2021-01-07,66.52417755126953,20.570220947265625,49.712806701660156,18.34889030456543,58.56306076049805,73.89262390136719,58.4346923828125,49.04495620727539,73.12183380126953,39.434139251708984,25.113874435424805,24.099416732788086,69.77327728271484,18.67544174194336,32.30729293823242,12.168907165527344,47.44565200805664,22.882492065429688,50.60381317138672,51.11967849731445,18.14804458618164,55.599510192871094
2021-01-08,65.93297576904297,21.1441593170166,49.48119354248047,18.199501037597656,58.75569152832031,74.02413940429688,58.451416015625,49.24256134033203,74.59169006347656,39.70440673828125,25.221424102783203,24.32715606689453,71.3924331665039,18.405397415161133,33.69807052612305,12.099708557128906,48.46898651123047,22.94023323059082,50.95970153808594,51.06852722167969,18.87648582458496,56.111480712890625
2021-01-11,65.59989166259766,21.17743492126465,49.00938034057617,18.269805908203125,58.33027267456055,73.39939880371094,57.44839096069336,48.744598388671875,73.66683959960938,39.24703598022461,25.012298583984375,24.56302833557129,70.12525177001953,18.46446990966797,34.311397552490234,12.070052146911621,48.18989562988281,22.907236099243164,50.6617431640625,50.48440933227539,19.038366317749023,54.95101547241211
2021-01-12,64.81715393066406,21.643238067626953,48.35739517211914,18.190711975097656,57.415225982666016,73.10346221923828,56.77134323120117,49.40854263305664,73.89802551269531,38.54433822631836,25.14375114440918,24.79890251159668,70.17803192138672,18.456031799316406,35.26160430908203,12.040396690368652,48.502811431884766,23.05571746826172,48.68360137939453,50.309608459472656,19.389095306396484,54.097740173339844
2021-01-13,65.07527160644531,22.358577728271484,49.558406829833984,18.29616928100586,57.98512649536133,75.26539611816406,58.18393325805664,49.95392990112305,74.45130157470703,38.9393424987793,25.5739688873291,25.04290199279785,72.01719665527344,18.574182510375977,35.762630462646484,11.96131420135498,49.627647399902344,23.171201705932617,49.42023849487305,51.652618408203125,19.60492706298828,55.471519470214844
2021-01-14,65.64151763916016,22.832700729370117,49.601287841796875,18.322534561157227,57.0058708190918,75.34761810302734,57.22270202636719,48.71298599243164,73.96409606933594,39.084877014160156,25.44251251220703,25.417041778564453,72.62439727783203,18.44759178161621,34.76058578491211,11.69440746307373,48.86648178100586,23.270187377929688,48.865699768066406,52.24098587036133,19.1822566986084,54.234275817871094
2021-01-15,67.00712585449219,22.957475662231445,50.28758239746094,18.858583450317383,57.85669708251953,75.71752166748047,58.17557144165039,48.90268325805664,73.13834381103516,39.6046257019043,25.908578872680664,25.758644104003906,72.19319915771484,19.350557327270508,35.26160430908203,12.099708557128906,50.21965408325195,23.56714630126953,49.37885665893555,52.08324432373047,19.344127655029297,55.4288444519043
2021-01-19,67.20697784423828,23.340091705322266,49.97017288208008,19.060701370239258,56.95771026611328,74.29540252685547,58.07527542114258,48.11227035522461,71.95748901367188,39.550567626953125,25.58591651916504,25.303171157836914,72.87077331542969,18.953927993774414,35.61577224731445,11.892115592956543,49.20478057861328,23.212446212768555,50.53760528564453,51.79331970214844,19.52399253845215,55.215545654296875
2021-01-20,67.24029541015625,23.306825637817383,50.356204986572266,18.876155853271484,57.455360412597656,74.62423706054688,58.45975875854492,47.59851837158203,72.3538589477539,39.384254455566406,25.72334861755371,25.482107162475586,73.9619369506836,18.886417388916016,35.08020782470703,12.099708557128906,50.1181640625,23.07221221923828,50.1982536315918,52.385955810546875,19.263195037841797,55.82989501953125
2021-01-21,67.42350006103516,22.69129753112793,49.85007095336914,19.060701370239258,57.631961822509766,74.13098907470703,57.799442291259766,46.89504623413086,71.94921875,38.94765853881836,25.705425262451172,25.270639419555664,73.66275024414062,18.498226165771484,35.30479049682617,11.852575302124023,49.34854507446289,22.898990631103516,49.560943603515625,52.17277145385742,19.056354522705078,55.55685043334961
2021-01-22,68.34778594970703,22.541576385498047,50.107425689697266,18.841007232666016,58.02526092529297,74.22144317626953,57.5319709777832,46.87132263183594,72.18045043945312,39.07239532470703,25.418611526489258,25.433307647705078,74.1027603149414,18.506662368774414,35.87493133544922,11.58566951751709,49.35700607299805,22.9484806060791,49.7761344909668,51.780521392822266,19.19124412536621,55.258201599121094
2021-01-25,68.77245330810547,21.817914962768555,51.059654235839844,19.043128967285156,59.044654846191406,76.37515258789062,59.044857025146484,46.95037078857422,74.55866241455078,39.39672088623047,25.902606964111328,25.913183212280273,76.44349670410156,18.6585636138916,36.220455169677734,11.21990966796875,49.49232482910156,23.187698364257812,50.50448989868164,53.7076416015625,18.75058364868164,56.74291229248047
