Date,ACGL,AFL,AIG,ALL,AON,APO,AXP,BAC,BEN,BK,BRK-B,BRO,BX,C,CB,CFG,CME,COF,COIN,FIS,FISV,FITB,GPN,GS,HBAN,HIG,IBKR,ICE,IVZ,JPM,KEY,KKR,MA,MET,MMC,MS,NDAQ,PFG,PGR,PNC,PRU,PYPL,RF,SCHW,SPGI,STT,SYF,TFC,TROW,TRV,USB,V,WFC,WRB,XYZ
2022-10-18,46.251705169677734,56.00682067871094,48.95173263549805,127.25941467285156,273.7218017578125,47.43391799926758,140.333251953125,32.05320739746094,18.98012924194336,36.32674026489258,281.6700134277344,60.83024215698242,81.51521301269531,39.13489532470703,186.9213104248047,31.864904403686523,150.91152954101562,93.98973846435547,66.20999908447266,71.81238555908203,97.16999816894531,30.549213409423828,110.05256652832031,289.1769104003906,12.16334342956543,62.66777801513672,17.48351287841797,88.85494995117188,12.796000480651855,109.8765869140625,14.218042373657227,45.241371154785156,294.702880859375,60.98633575439453,150.6090850830078,71.09000396728516,54.657779693603516,71.14714050292969,109.78988647460938,138.3502655029297,82.91838073730469,85.0932846069336,18.731273651123047,65.49786376953125,292.7587585449219,57.79361343383789,30.1997013092041,36.410011291503906,89.53004455566406,156.77040100097656,36.69415283203125,182.57899475097656,41.0372428894043,44.16624069213867,57.27000045776367
2022-10-19,46.32777786254883,55.960304260253906,49.09132766723633,125.19364929199219,274.3077087402344,46.68818664550781,138.39151000976562,31.171005249023438,18.752567291259766,35.47221374511719,278.3399963378906,61.55440902709961,79.36245727539062,38.41689682006836,188.198486328125,31.675128936767578,149.64718627929688,89.87493133544922,63.189998626708984,70.56172943115234,96.2300033569336,29.14706802368164,109.08440399169922,287.2511901855469,11.740944862365723,63.793514251708984,18.69215202331543,87.81985473632812,12.54745101928711,107.72234344482422,13.807745933532715,44.58866500854492,292.1323547363281,60.95014572143555,150.11178588867188,69.47921752929688,53.50175476074219,70.15848541259766,110.64803314208984,134.3988800048828,82.13467407226562,84.27517700195312,18.074033737182617,65.59333038330078,288.9241943359375,57.92818832397461,29.273046493530273,35.6292610168457,86.97623443603516,163.72671508789062,35.37384796142578,181.83761596679688,40.0726318359375,43.95707702636719,53.939998626708984
2022-10-20,45.18669891357422,55.03910446166992,48.253746032714844,109.03844451904297,267.2676696777344,46.39556121826172,136.901611328125,30.968835830688477,18.322731018066406,34.9267578125,273.5299987792969,59.587406158447266,76.01575469970703,38.04459762573242,184.5782012939453,30.96779441833496,147.5687255859375,89.63897705078125,63.59000015258789,70.39619445800781,95.01000213623047,27.297990798950195,109.19090270996094,286.37591552734375,11.378889083862305,61.55137634277344,18.61845588684082,86.57390594482422,12.350324630737305,107.37100219726562,13.271846771240234,43.750858306884766,290.6803283691406,59.75537872314453,147.8070831298828,68.54853057861328,54.30427551269531,69.08077239990234,108.51177978515625,131.10316467285156,81.09544372558594,84.58446502685547,17.070878982543945,64.91555786132812,284.2137451171875,58.1883544921875,29.245241165161133,33.93342590332031,85.7466049194336,160.6245880126953,34.30217361450195,182.62774658203125,40.10019302368164,43.218929290771484,55.18000030517578
2022-10-21,45.86183547973633,56.73262023925781,49.5566520690918,111.23384094238281,273.5168151855469,48.33067321777344,134.61383056640625,32.11752700805664,18.988554000854492,36.572200775146484,282.510009765625,60.21371841430664,77.27301788330078,39.23237991333008,189.93661499023438,32.727516174316406,147.2136993408203,90.83756256103516,66.37999725341797,71.57330322265625,96.73999786376953,28.936744689941406,110.61409759521484,299.5424499511719,12.456436157226562,63.03364562988281,18.83463478088379,89.18081665039062,12.76171875,113.01091766357422,14.151055335998535,45.143943786621094,296.6552429199219,61.60182571411133,148.160888671875,70.89312744140625,55.16413497924805,70.22083282470703,111.78921508789062,138.5363006591797,83.7276382446289,83.74640655517578,16.880626678466797,67.13032531738281,288.01910400390625,62.01016616821289,30.03290367126465,34.84850311279297,88.15425872802734,165.66319274902344,34.730838775634766,185.70045471191406,41.184234619140625,43.88942337036133,55.9900016784668
2022-10-24,46.91733169555664,57.57937240600586,50.580352783203125,115.67097473144531,277.8033142089844,48.83097457885742,136.14218139648438,32.22780227661133,19.23297119140625,37.126731872558594,287.4800109863281,61.73055648803711,78.03282165527344,39.36534881591797,195.30470275878906,33.97830581665039,148.96302795410156,92.07390594482422,66.38999938964844,71.72962951660156,97.3499984741211,30.119802474975586,111.9792251586914,302.8594970703125,12.801251411437988,65.04125213623047,18.709346771240234,89.3629150390625,12.898848533630371,113.14960479736328,14.846047401428223,45.066017150878906,299.8241271972656,62.79655838012695,149.61451721191406,71.0810546875,56.1481819152832,71.28074645996094,112.5286865234375,142.1421356201172,85.28650665283203,83.1278305053711,17.7713565826416,67.49304962158203,292.3499450683594,63.26615905761719,30.644493103027344,35.81395721435547,89.77081298828125,169.0097198486328,35.26239013671875,186.03211975097656,41.524131774902344,44.63987350463867,56.9900016784668
2022-10-25,46.803226470947266,57.64451217651367,50.52452087402344,115.4671859741211,273.3996276855469,51.266395568847656,141.32334899902344,32.52186965942383,19.763944625854492,37.817630767822266,289.239990234375,53.92127227783203,82.80868530273438,40.17198181152344,193.4320831298828,34.884056091308594,152.2452392578125,95.86785125732422,75.05000305175781,73.52285766601562,100.08000183105469,30.978614807128906,114.41903686523438,306.2685852050781,12.792632102966309,65.19135284423828,19.34560203552246,91.20307922363281,12.898848533630371,113.4454574584961,14.879542350769043,46.04994583129883,305.52435302734375,64.19947814941406,146.42042541503906,72.04753875732422,57.84877395629883,71.37870788574219,111.47882080078125,144.6050567626953,86.37687683105469,89.03417205810547,18.35941505432129,69.17322540283203,303.6784362792969,64.63878631591797,32.3866081237793,36.81298065185547,93.45967864990234,165.5315704345703,36.01685333251953,189.61212158203125,41.6803092956543,42.48692321777344,59.65999984741211
2022-10-26,46.39434051513672,57.65380859375,50.45936584472656,115.11518859863281,270.59722900390625,51.105918884277344,141.1887664794922,32.8067512512207,19.763944625854492,37.84514236450195,288.5199890136719,54.75308609008789,83.88504791259766,40.25175476074219,196.0441131591797,34.668399810791016,148.8937530517578,96.188720703125,73.80999755859375,75.53681945800781,101.76000213623047,31.11883544921875,116.77171325683594,309.29998779296875,12.852973937988281,64.9662094116211,19.18592643737793,89.98588562011719,12.941701889038086,114.74911499023438,14.812554359436035,46.994911193847656,313.4712219238281,64.12709045410156,147.6923370361328,72.40550231933594,57.35197067260742,72.0378189086914,112.22742462158203,143.276123046875,86.1553726196289,88.34577178955078,18.411304473876953,69.64099884033203,303.1918029785156,64.8451156616211,32.47926330566406,37.115211486816406,93.78642272949219,165.82296752929688,36.3426399230957,198.3426055908203,41.983482360839844,43.05899429321289,59.470001220703125
2022-10-27,49.15194320678711,58.34238052368164,50.831626892089844,113.54041290283203,275.6649169921875,51.24751281738281,141.27528381347656,32.96297073364258,19.645950317382812,38.20287322998047,289.8800048828125,55.48704147338867,84.52725219726562,40.27835464477539,199.28990173339844,34.53900146484375,149.58656311035156,96.38690948486328,72.47000122070312,76.40126037597656,98.80999755859375,30.978614807128906,117.99163055419922,310.6728515625,12.844350814819336,65.90434265136719,19.68952751159668,91.6535415649414,12.984554290771484,115.20217895507812,14.862794876098633,47.47225570678711,313.33392333984375,64.39860534667969,148.4478302001953,72.20863342285156,57.94432067871094,72.8928451538086,113.55118560791016,142.63824462890625,86.73464965820312,87.1485366821289,18.636144638061523,73.82232666015625,310.7635803222656,65.58077239990234,32.497798919677734,37.090023040771484,91.69692993164062,166.95103454589844,36.07686996459961,199.27903747558594,41.93754959106445,43.76640319824219,60.2599983215332
2022-10-28,53.89693069458008,60.28712844848633,52.86042785644531,117.07901000976562,282.38275146484375,52.51241683959961,144.61085510253906,33.24785232543945,19.991500854492188,38.817420959472656,299.6300048828125,57.38554000854492,85.10264587402344,40.889976501464844,205.983154296875,35.349857330322266,151.33595275878906,101.07743835449219,72.06999969482422,78.07494354248047,102.5999984741211,31.53070831298828,121.32212829589844,314.94805908203125,13.025381088256836,67.69620513916016,19.68215560913086,92.65986633300781,13.207390785217285,116.57054138183594,15.155864715576172,48.10548400878906,323.2430725097656,66.19976806640625,156.58602905273438,74.2913589477539,59.501590728759766,78.38833618164062,118.40801239013672,144.2949981689453,89.67350006103516,86.05107116699219,18.895580291748047,76.55260467529297,318.17962646484375,67.08795928955078,33.48006057739258,37.820411682128906,93.41668701171875,171.0496368408203,36.7455940246582,204.2051544189453,42.58061981201172,45.07046890258789,61.290000915527344
2022-10-31,54.676666259765625,60.58488464355469,53.04655075073242,116.9493179321289,275.38775634765625,52.25754928588867,142.69793701171875,33.119197845458984,19.763944625854492,38.62480163574219,295.0899963378906,57.53233337402344,83.23948669433594,40.650638580322266,206.357666015625,35.280853271484375,150.08018493652344,100.05815887451172,66.25,76.3184814453125,102.73999786376953,31.27657127380371,110.62379455566406,317.4266357421875,13.085722923278809,67.93072509765625,19.68952751159668,91.59603118896484,13.130256652832031,116.38561248779297,14.963278770446777,47.374847412109375,321.9774169921875,66.26312255859375,154.43431091308594,74.24616241455078,59.46338653564453,78.49520874023438,117.22119903564453,143.3735809326172,89.60535430908203,83.3872299194336,18.9820613861084,76.05619049072266,312.6516418457031,66.38819885253906,33.1629753112793,37.60213088989258,91.28418731689453,173.39971923828125,36.39408493041992,202.07864379882812,42.24988555908203,45.753265380859375,60.06999969482422
