Date,AMT,ARE,BXP,CBRE,CCI,CSGP,DLR,DOC,EQR,EXR,HST,INVH,IRM,KIM,O,PLD,REG,SPG,UDR,VICI,VTR,WELL,WY
2023-12-27,204.4846649169922,116.54903411865234,64.26488494873047,93.63999938964844,105.27330017089844,87.58000183105469,129.05174255371094,17.725505828857422,57.119972229003906,149.605224609375,18.0657901763916,32.395416259765625,66.60689544677734,19.842090606689453,51.85157012939453,126.45603942871094,62.55948257446289,131.667236328125,35.17548370361328,28.87464714050293,47.58244705200195,87.41706085205078,32.66180419921875
2023-12-28,204.89981079101562,117.36851501464844,65.3548812866211,93.81999969482422,105.29143524169922,88.01000213623047,129.0612030029297,17.867168426513672,57.70160675048828,150.59893798828125,18.019983291625977,32.66844177246094,66.94827270507812,19.869430541992188,52.370086669921875,127.40789794921875,63.10047912597656,132.2262725830078,35.57925796508789,29.201324462890625,47.769962310791016,87.52268981933594,32.98128128051758
2023-12-29,203.69207763671875,115.42906951904297,63.7380485534668,93.08999633789062,104.45716094970703,87.38999938964844,127.60106658935547,17.530719757080078,57.06988525390625,148.8994140625,17.836763381958008,32.11298751831055,66.3603515625,19.42282485961914,51.55925369262695,125.62669372558594,62.49419403076172,130.72328186035156,35.138771057128906,28.929092407226562,47.145652770996094,86.57218170166016,32.671199798583984
2024-01-02,206.4566650390625,117.74183654785156,65.49113464355469,93.22000122070312,105.75392150878906,85.45999908447266,128.2173614501953,17.73436164855957,57.99367904663086,152.67926025390625,18.047468185424805,32.59312057495117,65.0801773071289,19.395483016967773,52.59186935424805,126.8707046508789,63.17510223388672,131.0806884765625,35.4599609375,29.63689613342285,47.836181640625,86.63938903808594,32.68999481201172
2024-01-03,202.5692901611328,114.13609313964844,63.002288818359375,89.05000305175781,102.9155502319336,82.7699966430664,126.58655548095703,17.335933685302734,56.60332107543945,147.47850036621094,17.919212341308594,32.0753288269043,62.79482650756836,18.885074615478516,51.837608337402344,123.00672149658203,61.337581634521484,128.38632202148438,34.56061935424805,29.437253952026367,46.96591567993164,85.36245727539062,32.004058837890625
2024-01-04,203.29580688476562,114.4274673461914,62.893287658691406,87.41999816894531,103.37803649902344,81.41999816894531,124.94627380371094,17.406763076782227,56.68730163574219,145.76040649414062,18.047468185424805,31.9905948638916,63.117244720458984,18.976219177246094,51.80167770385742,122.78994750976562,61.16968536376953,128.54212951660156,34.74415588378906,28.96539306640625,46.59699630737305,85.16083526611328,31.562429428100586
2024-01-05,202.1824188232422,115.19233703613281,63.9106330871582,87.05000305175781,103.16946411132812,81.33999633789062,124.0455322265625,17.380203247070312,56.640647888183594,146.80984497070312,18.166563034057617,31.87761878967285,63.29741287231445,19.003562927246094,52.008209228515625,123.04440307617188,60.62868881225586,128.8995361328125,34.70744705200195,28.747604370117188,46.04835510253906,84.9880142211914,31.646991729736328
2024-01-08,203.8808135986328,118.14247131347656,64.57371520996094,88.18000030517578,104.06723022460938,82.9000015258789,126.7667007446289,17.690088272094727,57.60176086425781,148.4443359375,18.679590225219727,32.22595977783203,64.5301742553711,19.03090476989746,53.40898513793945,125.50418090820312,60.62868881225586,130.41168212890625,35.41407775878906,29.119653701782227,46.07673645019531,86.22654724121094,31.994657516479492
2024-01-09,199.8990478515625,116.85861206054688,64.78263092041016,86.72000122070312,103.160400390625,83.72000122070312,126.69084930419922,17.619258880615234,57.415138244628906,146.76341247558594,18.17572593688965,31.91527557373047,63.6672477722168,18.903305053710938,53.23837661743164,125.40992736816406,60.19029998779297,130.2742156982422,35.3769645690918,28.720382690429688,45.622676849365234,86.01531219482422,31.7033748626709
2024-01-10,197.17221069335938,117.57794189453125,65.46388244628906,86.6500015258789,102.84300231933594,82.70999908447266,129.449951171875,17.68123435974121,57.583099365234375,145.65821838378906,18.084110260009766,32.16946792602539,63.705177307128906,19.103824615478516,53.07676315307617,125.86229705810547,60.12500762939453,132.5928497314453,35.460472106933594,28.593341827392578,46.019981384277344,87.1098403930664,31.787939071655273
2024-01-11,195.92672729492188,114.60958862304688,63.52004623413086,84.86000061035156,102.21730041503906,82.11000061035156,127.0511474609375,17.96455955505371,57.657752990722656,139.99313354492188,18.184885025024414,31.87761878967285,62.82327651977539,18.711902618408203,53.220428466796875,123.76065826416016,59.86383819580078,132.3179473876953,35.720252990722656,28.275737762451172,45.329437255859375,86.38976287841797,31.806732177734375
2024-01-12,197.60621643066406,114.95559692382812,63.547298431396484,85.26000213623047,102.20823669433594,83.4000015258789,129.971435546875,18.45152473449707,58.00300216674805,141.46051025390625,18.09327507019043,31.82112693786621,63.752601623535156,18.793930053710938,52.88819122314453,123.97743225097656,59.761234283447266,134.37078857421875,35.803749084472656,28.221294403076172,46.45511245727539,88.26195526123047,31.60001564025879
2024-01-16,196.3041534423828,115.23784637451172,63.111289978027344,85.43000030517578,100.50341033935547,81.76000213623047,131.4884490966797,18.3541316986084,57.331153869628906,139.7238006591797,18.139080047607422,31.57635498046875,62.927589416503906,18.45669937133789,52.38534927368164,122.48837280273438,59.07100296020508,133.37184143066406,35.57179641723633,28.221294403076172,46.68213653564453,87.6762924194336,31.07381248474121
2024-01-17,193.379150390625,112.16934204101562,60.785945892333984,83.5999984741211,98.39049530029297,81.69000244140625,128.53024291992188,17.743213653564453,56.1740837097168,137.60635375976562,18.047468185424805,31.171527862548828,61.96034622192383,18.210609436035156,51.37068557739258,119.55740356445312,58.268836975097656,130.24673461914062,34.783172607421875,27.74942398071289,45.424041748046875,86.0633316040039,30.510032653808594
2024-01-18,192.39788818359375,111.04937744140625,60.404449462890625,84.31999969482422,97.74665069580078,81.83000183105469,127.56312561035156,17.3536434173584,55.7261848449707,135.9997100830078,17.974178314208984,31.115039825439453,62.5293083190918,18.037437438964844,50.39193344116211,118.99193572998047,58.110267639160156,129.98097229003906,34.52339172363281,27.459043502807617,45.0267333984375,85.45846557617188,30.622793197631836
