Date,ALB,AMCR,BALL,CF,CTVA,DD,DOW,FCX,IFF,IP,LIN,LYB,MOS,NEM,NUE,PPG,SHW,STLD
2022-01-04,231.1887664794922,10.22612190246582,85.21878051757812,65.29556274414062,45.73229217529297,31.873451232910156,46.505977630615234,39.70317840576172,134.70297241210938,40.50172424316406,326.50909423828125,71.98470306396484,36.7686882019043,53.52268981933594,110.61003112792969,157.41754150390625,323.65045166015625,59.9041633605957
2022-01-05,224.5746612548828,10.24306583404541,86.55374908447266,63.31272888183594,45.22490692138672,31.583833694458008,46.45820236206055,39.26046371459961,130.4192657470703,40.68555450439453,328.02423095703125,71.47242736816406,35.40687942504883,53.434120178222656,115.94825744628906,159.1180877685547,324.2578125,62.20526123046875
2022-01-06,222.42079162597656,10.158343315124512,86.686279296875,63.560577392578125,45.85675048828125,31.66106605529785,46.37062072753906,38.17723083496094,129.42935180664062,40.39309310913086,320.0700378417969,71.79167938232422,35.77910614013672,51.9638671875,110.16596984863281,156.8384246826172,321.5681457519531,60.403987884521484
2022-01-07,224.93682861328125,10.268484115600586,85.6921615600586,63.46879577636719,46.35456848144531,32.12445068359375,47.055355072021484,39.4488639831543,127.7644271850586,40.83595657348633,318.4318542480469,72.46727752685547,36.478172302246094,52.63699722290039,108.12515258789062,154.16348266601562,311.5997619628906,58.763038635253906
2022-01-10,216.31182861328125,10.293899536132812,85.15249633789062,61.935768127441406,45.36850357055664,31.653345108032227,46.498008728027344,39.203948974609375,126.52252960205078,40.58528137207031,317.62701416015625,72.60833740234375,36.35106658935547,53.52268981933594,105.6875228881836,152.76625061035156,311.6769104003906,57.14093780517578
2022-01-11,228.89195251464844,10.260009765625,85.06729888916016,63.48714828491211,46.34498977661133,32.06267547607422,47.11904525756836,40.49441909790039,131.53518676757812,40.54349899291992,318.57391357421875,73.74422454833984,36.641578674316406,53.94782257080078,104.72379302978516,155.1746063232422,312.8337707519531,57.49931716918945
2022-01-12,229.74966430664062,10.285429000854492,86.09928894042969,62.33049011230469,46.77579879760742,32.329124450683594,47.182743072509766,42.52903366088867,131.47218322753906,40.518436431884766,323.1759948730469,74.15998077392578,38.04878234863281,54.48810958862305,108.38970947265625,154.8437042236328,310.0284118652344,59.9796028137207
2022-01-13,224.1839141845703,10.404040336608887,86.17500305175781,60.2007942199707,46.81409454345703,32.441104888916016,47.72415542602539,41.89582824707031,131.28321838378906,41.19527053833008,315.71417236328125,75.25877380371094,37.77641677856445,54.31096649169922,106.50006103515625,155.183837890625,305.9795227050781,59.243995666503906
2022-01-14,222.69715881347656,10.480291366577148,85.76791381835938,60.99024963378906,46.52688980102539,32.81182098388672,48.361122131347656,41.6595573425293,131.20220947265625,41.36239242553711,311.1879577636719,76.32782745361328,39.24716567993164,54.22239685058594,104.70489501953125,151.67234802246094,297.3704528808594,58.66872024536133
2022-01-18,215.6732635498047,10.404040336608887,84.78326416015625,62.65177917480469,46.08650207519531,32.34843063354492,47.93117141723633,41.85801315307617,127.08949279785156,41.20362854003906,304.1143798828125,74.96923065185547,39.592159271240234,54.24897003173828,100.81224822998047,150.5601043701172,295.21099853515625,56.49022674560547
2022-01-19,209.37362670898438,10.514182090759277,86.86616516113281,61.41252899169922,45.20574951171875,31.502742767333984,47.644535064697266,41.6595573425293,125.43360137939453,41.2370491027832,305.08966064453125,74.89497375488281,38.07600021362305,57.52604675292969,98.49744415283203,148.50103759765625,292.86834716796875,55.603729248046875
2022-01-20,206.95291137695312,10.276957511901855,85.7205810546875,59.025787353515625,44.55475616455078,30.575965881347656,46.02825927734375,40.81842041015625,126.8914794921875,40.251033782958984,304.60675048828125,71.47242736816406,36.79591369628906,56.54292678833008,94.80319213867188,146.8004608154297,286.9587707519531,53.71759033203125
2022-01-21,202.75958251953125,10.124451637268066,83.62821197509766,60.58633804321289,43.501678466796875,29.91563606262207,45.160396575927734,38.739219665527344,125.35260009765625,39.51570510864258,299.3417663574219,69.89851379394531,35.68831253051758,55.8786506652832,87.91546630859375,142.2411346435547,282.32171630859375,49.464317321777344
2022-01-24,201.96852111816406,10.099037170410156,82.58676147460938,62.75275802612305,44.10480880737305,29.79206657409668,45.08077621459961,37.765777587890625,122.94976806640625,40.301170349121094,299.3797302246094,69.33428192138672,35.506752014160156,55.869789123535156,90.05075073242188,142.50770568847656,287.787841796875,51.58622741699219
2022-01-25,196.3360595703125,9.988895416259766,81.80094146728516,65.59848022460938,44.085662841796875,29.66849136352539,45.526641845703125,37.45389938354492,120.6189193725586,39.8917236328125,296.9461669921875,69.20065307617188,36.70513153076172,56.05579376220703,88.99256134033203,141.5516815185547,283.68096923828125,51.039241790771484
2022-01-26,195.96432495117188,9.963480949401855,81.9618911743164,62.238712310791016,44.04737091064453,29.633739471435547,45.55849838256836,36.319793701171875,119.89897155761719,39.53241729736328,292.533447265625,69.06700897216797,36.19672775268555,54.638671875,87.90599822998047,141.09207153320312,282.2252197265625,50.09617614746094
2022-01-27,195.78329467773438,9.997368812561035,88.98693084716797,62.77112579345703,44.84196472167969,29.537200927734375,47.91524887084961,35.06282043457031,118.75606536865234,38.763668060302734,294.8250427246094,71.1606216430664,35.851741790771484,53.72639846801758,91.4018325805664,141.00013732910156,272.9896545410156,51.246726989746094
2022-01-28,196.54568481445312,10.115982055664062,88.52301025390625,65.26802062988281,45.435516357421875,29.37501335144043,47.80378341674805,34.061031341552734,117.63113403320312,39.42379379272461,298.22454833984375,71.33138275146484,36.10594177246094,53.017845153808594,94.28353881835938,142.32382202148438,277.3568115234375,51.793704986572266
