Date,ADP,AME,AOS,BA,BLDR,CARR,CAT,CHRW,CMI,CPRT,CSX,CTAS,DAL,DAY,DE,EFX,EMR,ETN,EXPD,FAST,FDX,FTV,GD,GE,GNRC,HON,HWM,IR,ITW,JCI,LDOS,LHX,LMT,LUV,MAS,MMM,NSC,ODFL,OTIS,PAYX,PCAR,PNR,PWR,ROL,RSG,RTX,SWK,TT,TXT,UAL,UBER,UNP,UPS,VRSK,WAB,WM,XYL
2023-08-10,237.2284393310547,156.35992431640625,69.08946228027344,238.25999450683594,150.32000732421875,53.79749298095703,273.76959228515625,90.56739044189453,223.91212463378906,43.505001068115234,29.811195373535156,119.93798828125,43.733238220214844,73.76000213623047,419.3199768066406,194.85287475585938,91.62435913085938,211.29730224609375,114.48634338378906,26.85304069519043,252.68203735351562,59.16892623901367,215.43373107910156,89.41361236572266,108.66000366210938,169.4510498046875,49.50517654418945,67.75528717041016,227.9558868408203,57.18489456176758,94.63375091552734,177.01182556152344,420.19012451171875,31.98465347290039,56.552818298339844,79.93460083007812,206.7169952392578,200.09640502929688,84.1953353881836,116.06836700439453,76.98023223876953,69.05863189697266,199.7699737548828,39.59309387207031,143.22938537597656,81.52610778808594,86.35820770263672,197.27244567871094,77.51958465576172,52.95000076293945,44.599998474121094,217.56063842773438,157.7198944091797,229.504638671875,112.40131378173828,153.92523193359375,99.47675323486328
2023-08-11,239.36819458007812,155.67120361328125,68.48484802246094,235.72000122070312,147.88999938964844,53.933441162109375,275.1199645996094,89.43106842041016,225.3279571533203,43.92499923706055,29.64729118347168,119.90129852294922,43.060577392578125,73.02999877929688,419.8023986816406,193.87030029296875,91.84498596191406,212.690185546875,113.51586151123047,27.16517448425293,251.96151733398438,59.20620346069336,216.70346069335938,90.22454071044922,107.55999755859375,171.1837921142578,49.10786056518555,67.92486572265625,223.8361053466797,56.92609405517578,94.9546127319336,178.47418212890625,423.9247131347656,31.852327346801758,56.37010192871094,80.43467712402344,205.21524047851562,202.4771270751953,83.84044647216797,117.1607894897461,77.28643035888672,68.04434204101562,199.51080322265625,39.845584869384766,143.3848419189453,82.11235809326172,85.4341049194336,198.27769470214844,78.06825256347656,52.2599983215332,43.709999084472656,216.79547119140625,155.831787109375,231.06031799316406,112.8857192993164,154.99423217773438,99.36994171142578
2023-08-14,238.553955078125,155.57281494140625,68.40806579589844,236.7100067138672,151.85000610351562,54.39956283569336,274.46405029296875,89.58130645751953,223.78939819335938,44.30500030517578,29.714778900146484,121.07660675048828,43.11906814575195,73.87000274658203,422.2822265625,193.2906036376953,91.99849700927734,213.35252380371094,113.48675537109375,27.311782836914062,253.07070922851562,59.48952865600586,216.11154174804688,90.97246551513672,112.23999786376953,170.14234924316406,48.889339447021484,67.7353286743164,225.2690887451172,56.95484924316406,95.45046997070312,177.05929565429688,420.21807861328125,31.6916446685791,56.966312408447266,79.5653076171875,204.7589874267578,205.04518127441406,83.49515533447266,116.7032699584961,77.44853210449219,68.07360076904297,202.8697509765625,40.17576217651367,143.82208251953125,81.73413848876953,85.19853973388672,199.9270782470703,77.44976806640625,52.310001373291016,44.849998474121094,217.08831787109375,154.8524169921875,233.49234008789062,112.8263931274414,154.79200744628906,99.15630340576172
2023-08-15,237.61663818359375,154.13632202148438,67.96659851074219,232.25999450683594,150.69000244140625,53.80720138549805,267.54791259765625,88.8018569946289,219.5229949951172,44.040000915527344,29.194143295288086,119.90129089355469,41.939456939697266,73.31999969482422,416.5313415527344,190.05792236328125,91.58599853515625,212.28109741210938,111.77872467041016,27.217199325561523,251.75289916992188,58.9825325012207,213.0183868408203,89.6340560913086,112.62999725341797,168.60707092285156,48.44235610961914,66.83751678466797,223.85496520996094,56.676883697509766,94.89627075195312,173.17550659179688,414.14935302734375,31.30412483215332,56.74513244628906,77.81121063232422,198.50497436523438,201.91522216796875,82.23863983154297,115.39610290527344,76.61100769042969,67.32264709472656,202.53085327148438,39.74846649169922,141.9273681640625,80.99658203125,84.27444458007812,198.1605682373047,75.87364196777344,51.34000015258789,44.08000183105469,213.06393432617188,152.86724853515625,231.1686248779297,111.29410552978516,153.09703063964844,98.09781646728516
2023-08-16,237.5503387451172,153.5263214111328,67.45796203613281,229.9499969482422,147.24000549316406,52.89439392089844,264.7892150878906,88.56708526611328,219.30587768554688,43.724998474121094,29.10737419128418,120.29631805419922,41.598243713378906,72.4800033569336,409.0629577636719,189.97935485839844,92.10401916503906,210.4791259765625,110.75003051757812,26.97600555419922,251.2978973388672,58.69175338745117,213.45755004882812,89.41361236572266,108.81999969482422,167.43099975585938,48.521820068359375,66.5482177734375,223.4495849609375,56.82065963745117,94.10870361328125,173.35589599609375,415.5965270996094,31.11509132385254,55.7642936706543,77.54193878173828,197.35487365722656,200.66323852539062,81.787841796875,114.37835693359375,76.39417266845703,66.62043762207031,200.10885620117188,40.18547821044922,143.56944274902344,80.50491333007812,82.83394622802734,198.24839782714844,75.41475677490234,50.720001220703125,43.650001525878906,212.19482421875,150.64385986328125,231.7101593017578,110.56256103515625,154.10821533203125,97.12675476074219
2023-08-17,236.96331787109375,150.51560974121094,66.92052459716797,224.5399932861328,130.05999755859375,51.515472412109375,265.4258728027344,87.64677429199219,219.83444213867188,42.994998931884766,29.18450355529785,118.73824310302734,40.730594635009766,68.29000091552734,404.4507141113281,187.5032501220703,91.83541870117188,208.81353759765625,110.56563568115234,27.080049514770508,251.14617919921875,57.69268798828125,212.2355499267578,87.35875701904297,110.47000122070312,166.9730987548828,48.283443450927734,65.939697265625,223.30816650390625,56.70563507080078,93.64200592041016,172.58676147460938,417.0436706542969,30.462921142578125,54.283390045166016,78.31897735595703,198.1627655029297,194.28993225097656,80.81520080566406,112.9778060913086,75.66239929199219,64.81620025634766,199.7500457763672,39.16579055786133,141.65530395507812,81.07620239257812,81.07633209228516,192.880615234375,74.5468978881836,49.529998779296875,43.970001220703125,211.9681396484375,150.64385986328125,227.13168334960938,110.28575134277344,152.63475036621094,96.63152313232422
2023-08-18,237.6923828125,151.9619140625,66.14315032958984,226.64999389648438,134.13999938964844,51.84563446044922,264.10430908203125,89.20567321777344,220.51406860351562,43.41999816894531,29.76298713684082,119.1112060546875,40.4478874206543,69.86000061035156,383.0876159667969,188.81008911132812,91.89295959472656,209.07650756835938,112.40953063964844,27.18882179260254,249.003662109375,56.72344207763672,214.24990844726562,88.01222229003906,113.3499984741211,167.51177978515625,48.452293395996094,66.32875061035156,222.2805938720703,56.83024597167969,93.43782806396484,172.33033752441406,420.1993408203125,30.387311935424805,54.610347747802734,78.09253692626953,201.60345458984375,193.9547576904297,80.63224792480469,112.4922866821289,76.4845199584961,64.95274353027344,202.4012908935547,39.146366119384766,142.13143920898438,81.69510650634766,81.28470611572266,192.2169189453125,75.06562042236328,49.099998474121094,44.689998626708984,212.7994384765625,151.0850067138672,227.38772583007812,110.07815551757812,153.00070190429688,96.58296966552734
2023-08-21,237.7491912841797,152.12918090820312,66.08556365966797,227.22000122070312,132.75999450683594,52.020423889160156,263.0915832519531,87.82518005371094,220.4951934814453,43.4900016784668,29.608722686767578,119.25350952148438,40.69160842895508,69.83000183105469,377.0762939453125,188.36795043945312,91.19266510009766,210.13824462890625,111.21586608886719,27.046939849853516,246.43446350097656,57.021663665771484,214.11627197265625,88.19329833984375,116.18000030517578,167.84396362304688,48.243709564208984,66.53824615478516,222.25230407714844,56.40850067138672,93.79756927490234,171.798583984375,421.53448486328125,30.169919967651367,53.97567367553711,77.4522476196289,199.68350219726562,198.69651794433594,80.43000030517578,112.5763168334961,76.41224670410156,64.81620025634766,202.89962768554688,38.70935821533203,142.57838439941406,81.42850494384766,81.22129821777344,193.65158081054688,75.3648910522461,49.630001068115234,44.630001068115234,211.580810546875,148.65869140625,228.80552673339844,110.1572494506836,153.00070190429688,97.01995086669922
2023-08-22,236.2532501220703,152.1980743408203,66.62300872802734,230.07000732421875,131.80999755859375,52.243770599365234,260.6318664550781,87.20538330078125,221.42965698242188,43.790000915527344,29.415897369384766,119.15291595458984,40.564876556396484,69.91000366210938,371.69207763671875,188.56443786621094,92.17117309570312,211.64796447753906,111.1382064819336,26.886144638061523,245.52432250976562,57.051483154296875,214.11627197265625,87.90986633300781,113.48999786376953,167.00003051757812,48.362892150878906,66.7078857421875,222.4785614013672,56.216796875,92.74748992919922,171.12440490722656,422.88836669921875,29.77294921875,53.956443786621094,76.92125701904297,198.38136291503906,199.6281280517578,79.88108825683594,111.53056335449219,76.72843933105469,64.63090515136719,205.94955444335938,38.20437240600586,142.2480010986328,81.24757385253906,81.04915618896484,192.4901885986328,75.18534088134766,49.43000030517578,44.349998474121094,210.1071014404297,147.2205352783203,228.17538452148438,109.61351776123047,152.2880401611328,96.62181091308594
2023-08-23,237.5692901611328,153.77227783203125,67.16044616699219,228.5800018310547,136.61000061035156,53.632415771484375,263.36163330078125,87.51528930664062,221.13702392578125,45.08000183105469,29.888324737548828,120.52943420410156,41.140052795410156,70.62999725341797,380.4438171386719,192.80909729003906,92.69878387451172,215.5538330078125,111.31290435791016,27.098962783813477,246.91790771484375,57.998374938964844,214.66998291015625,89.33486938476562,114.06999969482422,167.960693359375,48.809879302978516,68.3543701171875,226.98489379882812,56.83024597167969,92.85443878173828,169.28221130371094,424.4101867675781,29.839107513427734,54.85075378417969,77.81143188476562,200.1682586669922,203.3988800048828,80.74778747558594,113.55669403076172,77.37892150878906,65.84024047851562,207.5642547607422,38.466575622558594,142.15084838867188,81.92361450195312,82.66180419921875,196.62831115722656,75.56439208984375,50.38999938964844,45.13999938964844,210.7872772216797,149.00274658203125,231.72987365722656,110.94810485839844,152.52880859375,97.66084289550781
2023-08-24,236.5089111328125,152.37515258789062,66.02798461914062,217.30999755859375,132.83999633789062,52.37001419067383,259.763671875,87.46833038330078,219.3782196044922,43.040000915527344,29.464101791381836,119.71479797363281,40.847591400146484,70.13999938964844,373.07196044921875,193.0154571533203,91.85459899902344,215.17401123046875,110.61416625976562,26.696969985961914,245.33468627929688,56.70107650756836,213.73439025878906,87.4217529296875,114.79000091552734,166.2368927001953,47.79672622680664,68.09491729736328,224.06236267089844,55.94841766357422,93.7392349243164,168.88339233398438,422.5242004394531,29.508296966552734,54.36993408203125,76.91345977783203,198.22930908203125,201.451904296875,79.77515411376953,112.75371551513672,76.09605407714844,64.86498260498047,200.89627075195312,37.91303253173828,140.8974151611328,81.07620239257812,81.00386047363281,194.5592498779297,75.05564880371094,49.400001525878906,44.68000030517578,210.21099853515625,147.34405517578125,231.06031799316406,109.75191497802734,151.4694366455078,96.76747131347656
2023-08-25,239.58596801757812,155.0513153076172,66.9397201538086,223.41000366210938,129.19000244140625,53.428489685058594,262.9083251953125,88.05058288574219,220.61415100097656,43.79999923706055,29.801549911499023,121.70474243164062,40.652610778808594,71.37999725341797,376.5166320800781,194.5286102294922,93.6677017211914,218.42724609375,110.94412231445312,27.032756805419922,245.2872772216797,57.42427444458008,213.45755004882812,88.15394592285156,114.94000244140625,167.26040649414062,47.856327056884766,68.75352478027344,226.7963409423828,56.10177230834961,93.13640594482422,169.46263122558594,421.16107177734375,29.508296966552734,54.48533630371094,77.26484680175781,200.21578979492188,201.61949157714844,80.76705169677734,113.79013061523438,76.59292602539062,65.39161682128906,204.5940704345703,38.23350143432617,141.907958984375,80.6382064819336,80.83172607421875,197.71160888671875,75.03569793701172,48.939998626708984,43.959999084472656,211.77915954589844,148.99392700195312,233.54156494140625,110.44393920898438,152.48068237304688,98.24349212646484
2023-08-28,240.8546600341797,155.95651245117188,67.86103057861328,227.05999755859375,132.8800048828125,53.962581634521484,265.05926513671875,87.37443542480469,221.1560821533203,43.900001525878906,29.75334930419922,122.4604721069336,41.34477996826172,71.26000213623047,380.83941650390625,196.39549255371094,94.12818145751953,220.36557006835938,111.6137466430664,27.1131534576416,244.92703247070312,57.78961181640625,215.13778686523438,89.72066497802734,119.18000030517578,168.6789093017578,48.53175735473633,68.95308685302734,228.54983520507812,56.1976318359375,94.1767807006836,169.11129760742188,422.3094787597656,29.385427474975586,54.61996078491211,81.30181121826172,200.73854064941406,205.24237060546875,81.5085678100586,114.09823608398438,76.95429992675781,65.93777465820312,206.99610900878906,38.63167190551758,141.31527709960938,81.63796997070312,82.3809585571289,198.7168731689453,76.07315826416016,49.189998626708984,44.150001525878906,212.11927795410156,148.96746826171875,234.28004455566406,110.94810485839844,152.1050262451172,98.87469482421875
2023-08-29,240.8168182373047,156.98959350585938,68.96470642089844,227.25,139.6699981689453,55.1181526184082,270.11376953125,88.6328353881836,218.78878784179688,44.5,29.64729118347168,123.2579116821289,42.670623779296875,72.23999786376953,389.9192199707031,201.83892822265625,94.6366195678711,222.15780639648438,113.60321044921875,27.212467193603516,247.04115295410156,58.594825744628906,215.90151977539062,90.79927062988281,121.16999816894531,170.15133666992188,48.978736877441406,69.82124328613281,231.5665740966797,56.513938903808594,94.14759063720703,168.31362915039062,418.64959716796875,30.06595230102539,56.110469818115234,82.43404388427734,197.4404296875,210.866455078125,82.34638214111328,113.89283752441406,74.85833740234375,67.1470947265625,207.91307067871094,38.63167190551758,141.8010711669922,81.26663208007812,84.56436157226562,200.82496643066406,76.7514877319336,50.279998779296875,45.349998474121094,211.0801239013672,151.53497314453125,235.4615936279297,111.32376098632812,152.2880401611328,99.33109283447266
2023-08-30,241.3659210205078,157.7078399658203,69.38697052001953,228.85000610351562,139.8699951171875,55.5260124206543,272.3323059082031,88.86760711669922,220.59512329101562,45.06999969482422,29.734373092651367,124.15349578857422,42.14418029785156,72.05999755859375,398.7674255371094,203.89248657226562,94.29126739501953,224.10585021972656,114.30194091796875,27.325973510742188,250.17919921875,59.04218292236328,216.942138671875,89.99622344970703,119.22000122070312,169.2894287109375,49.38597869873047,69.74140930175781,234.0554962158203,56.58103561401367,95.24629211425781,168.83592224121094,422.3935241699219,29.89582061767578,56.56242752075195,81.55949401855469,199.05621337890625,212.1036376953125,82.49082946777344,114.4063720703125,74.73187255859375,67.85903930664062,208.9496307373047,38.89387130737305,141.76220703125,82.29496002197266,86.08641815185547,200.98110961914062,77.37994384765625,50.099998474121094,46.5099983215332,211.79278564453125,151.7643585205078,237.95263671875,111.94656372070312,152.7599334716797,100.8216323852539
2023-08-31,241.06297302246094,156.94041442871094,69.57890319824219,224.02999877929688,145.0399932861328,55.78819274902344,271.1748046875,85.47433471679688,218.7032012939453,44.83000183105469,29.221546173095703,123.7069320678711,41.802974700927734,72.5199966430664,396.5191650390625,203.0966033935547,94.25288391113281,224.38833618164062,113.2635498046875,27.231386184692383,247.4582977294922,58.84069061279297,216.36932373046875,90.11430358886719,118.80999755859375,168.73277282714844,49.137657165527344,69.4620132446289,233.1881561279297,56.60979461669922,94.80875396728516,169.11129760742188,421.397216796875,29.86746597290039,56.74513244628906,83.29297637939453,194.85516357421875,210.65451049804688,82.3848876953125,114.12626647949219,74.3434066772461,68.522216796875,209.1788787841797,38.427730560302734,140.04241943359375,81.92361450195312,85.506591796875,201.0594940185547,77.51958465576172,49.810001373291016,47.22999954223633,209.58828735351562,149.46156311035156,238.4941864013672,111.23477935791016,150.98789978027344,100.870361328125
2023-09-01,242.14231872558594,158.06204223632812,70.60579681396484,223.39999389648438,148.74000549316406,56.264015197753906,276.1134948730469,83.5083236694336,224.9779510498047,44.97999954223633,29.63761329650879,123.97438049316406,41.78347396850586,73.11000061035156,404.1998291015625,203.224365234375,94.89562225341797,227.60264587402344,112.93359375,27.089506149291992,247.41091918945312,58.96755599975586,216.11154174804688,89.94110107421875,118.94000244140625,169.13681030273438,49.35618591308594,69.80130004882812,233.2069854736328,57.29991912841797,96.10191345214844,169.40753173828125,421.2373962402344,29.697330474853516,57.42789077758789,83.51162719726562,196.1573028564453,214.84423828125,82.98196411132812,114.28498077392578,75.45460510253906,69.20491027832031,211.66070556640625,38.23350143432617,140.79054260253906,82.15214538574219,86.31074523925781,201.03009033203125,78.02835083007812,49.720001220703125,47.040000915527344,210.02537536621094,148.2263641357422,239.10464477539062,112.19371032714844,151.20941162109375,99.93511199951172
2023-09-05,239.3966064453125,154.58889770507812,69.04147338867188,222.57000732421875,136.55999755859375,54.78798294067383,271.6571044921875,83.79187774658203,220.4144744873047,45.20000076293945,28.95061683654785,121.88385009765625,40.71110916137695,72.76000213623047,399.8866882324219,200.88140869140625,93.89793395996094,223.60911560058594,112.14750671386719,26.521991729736328,243.2869110107422,57.75864791870117,213.2093048095703,88.87037658691406,117.80999755859375,166.72171020507812,47.985450744628906,68.29450988769531,228.47442626953125,55.92924118041992,94.7601318359375,164.8106231689453,418.4271240234375,29.250539779663086,55.081539154052734,83.43352508544922,191.12933349609375,208.9091033935547,81.22930145263672,113.32329559326172,73.77422332763672,67.2641372680664,208.1223907470703,36.8739128112793,140.9557647705078,80.98098754882812,84.65672302246094,196.4360809326172,76.72156524658203,48.470001220703125,46.54999923706055,204.97027587890625,144.6707000732422,236.90896606445312,108.2196273803711,151.2287139892578,95.21989440917969
2023-09-06,237.6923828125,154.56924438476562,68.9551010131836,217.9499969482422,140.55999755859375,54.76856231689453,272.882080078125,82.59146881103516,224.0747833251953,45.470001220703125,28.766773223876953,121.63603210449219,40.66236114501953,73.76000213623047,399.7516174316406,201.00938415527344,94.65579986572266,225.59613037109375,112.1766128540039,26.417943954467773,244.0927276611328,57.967594146728516,208.1685791015625,88.71290588378906,118.45999908447266,165.65333557128906,48.10464859008789,69.86116790771484,230.218505859375,55.19118881225586,93.83646392822266,162.6507568359375,398.4546813964844,28.49004554748535,55.4661865234375,83.05872344970703,188.5915985107422,209.11630249023438,81.26780700683594,112.38957977294922,74.75897216796875,67.90779113769531,208.40145874023438,36.98073959350586,140.0618438720703,79.51465606689453,85.62538146972656,200.02120971679688,75.79383087158203,48.34000015258789,45.900001525878906,202.23365783691406,143.20608520507812,239.72496032714844,108.70403289794922,150.20785522460938,95.28810119628906
