Date,AMT,ARE,BXP,CBRE,CCI,CSGP,DLR,DOC,EQR,EXR,HST,INVH,IRM,KIM,O,PLD,REG,SPG,UDR,VICI,VTR,WELL,WY
2022-01-04,-0.012605656397956855,0.0045035503267560895,0.03326671854782903,0.014999585076631572,-0.026908686660902403,-0.018518507766228542,-0.034267936387360254,0.01466888100966024,0.013068465310398736,0.010764859476187105,0.014156358653556467,0.0035579163206114206,-0.011106528232847301,0.02644443881321301,0.014747235123630187,-0.023650824417382865,0.022858683862389872,0.01671853156008707,0.014857884945421285,0.00667778933252916,0.025996389227372685,0.030154505704670376,0.012817513406183423
2022-01-05,-0.06436308626970799,-0.06417002109431502,-0.013475308074058057,-0.032456951332764605,-0.06772187635368387,-0.033988076334569794,-0.03672636145470254,-0.018003059736239724,-0.019404047602641583,-0.017374279844831197,-0.02959248924543656,-0.027476285169739767,-0.044335106189096085,-0.018628858438520024,-0.01619334524941951,-0.02080734898038117,-0.02093482325795104,-0.01196479071606149,-0.02599109545258038,-0.0371478187575085,-0.008258346655597548,-0.01316085962609137,-0.024823675103059717
2022-01-06,0.0012096487782695675,0.015436854223024765,0.020775448311556977,-0.009464037899903355,0.02143685433123066,-0.014715698650449416,-0.01277012846682335,-0.0011113239729769742,0.002874171233977485,-0.0004132778171356266,-0.001726125725817318,-0.0031899305649824017,-0.03567011878355153,0.006462215434125618,0.004642726192480184,-0.006850602094646274,0.0027545616632751457,0.01322760506871945,0.0003377709367964332,-0.0013777077268022353,0.008327114856725437,0.0074729519116714105,0.007985864211234484
2022-01-07,0.006379848306668601,-0.004003276385365573,0.0066505394906426485,-0.008797656922053476,0.011584219002567453,-0.0240326440704689,0.0016169142611881515,0.0002782558715561656,-0.011794458426488186,-0.042269840637294,0.049567983312248654,-0.01897129980067347,0.00042762963977227564,-0.006822018545223574,0.0,-0.01813874338270216,-0.009157696394899162,-0.011583697524186642,-0.011160790262017661,-0.015177776785593289,0.00638128626682577,0.0022823364415525127,-0.0012378147025376984
2022-01-10,-0.00814026041313931,-0.005645749918564258,-0.004139086783675916,-0.01317042631699894,-0.020849262630692866,-0.005147400268854407,-0.011300020059528015,-0.0038921175492516724,0.0003347682283028064,0.0002878544602391564,-0.02526118437390701,-0.006523846047453152,-0.0023508164837285905,0.015353777896866205,0.0030802788830250893,-0.004618181224490536,0.007129858215100926,-0.0024183311367603766,-0.0034356681349889673,0.005604214641591776,-0.009324817087097204,-0.003301779765864876,-0.0047101298405906045
2022-01-11,-0.014825348938644956,0.0038493846091314232,-0.013108466923271722,0.018181791350819765,-0.016153563383398017,0.052859721247046965,-0.0013186617951632673,0.0025115958882253597,0.009701080939513274,0.0074336456684021,0.018591655330602475,0.012195187393453155,-0.006426811015713518,-0.003581566849839568,-0.004746406948495041,-0.00019638079128070363,0.0014420534150663133,0.005905111070655833,0.003964773566236035,0.008707800257147236,-0.01844882933972314,-0.0138222583396711,0.014445920861662742
2022-01-12,-0.004222802143321602,0.006471095063074417,0.0004048578680906356,0.011398219904545703,0.009755294225977984,-0.006375393161067167,-0.0005033871564457115,0.0022274663583501386,0.004748990254172192,0.007855072113059913,-0.008296290398581485,0.006950909601063815,0.008193189011603819,0.0031949770015795576,0.008135607516898569,0.001633963586528342,0.0006545243706166382,0.0006178436790358344,0.01150414955089274,-0.005179513235365918,-0.005945511804896109,-0.00023181726732357522,0.007856681743747096
2022-01-13,-0.015228048562231034,-0.0004761279306495503,0.017730057670801047,-0.00751317643253735,-0.010769668740690852,-0.01056009813272063,-0.008367203279114,0.008055562365813618,0.005385611369939758,-0.024089603637471813,0.007807863836267526,0.003681535094834265,-0.02266902847316854,0.0043791022462076334,-0.0023648874296771094,-0.0005871826386472101,0.007849503897536803,0.0065458895756296265,0.0011882516930663556,-0.014231051445419585,0.020837324928730805,0.016220400597559692,0.014859925149827369
2022-01-14,-0.018869387408202987,0.001953407019967157,-0.005011672467445494,-0.017505663027808427,-0.01723779130537728,0.006890058894352125,-0.011038969168820412,-0.005786761386182171,-0.006996814165870058,-0.014520038280804726,-0.007194240098682192,-0.005272819463883471,-0.020350111665688897,-0.00872010940276935,-0.0027898300791521224,-0.0026770969357033936,-0.016095570377355872,-0.044726634000325616,-0.0067817788354597175,0.00492955585639443,0.00037808673466033227,-0.002280062747234357,-0.016322691439415227
2022-01-18,-0.0015561655587589263,-0.01374349465001945,-0.013191571738682462,-0.023307311242110718,-0.0008144479682293815,-0.018515997263122252,-6.453103304104868e-05,0.0,-0.006385568696619437,-0.016698739114171968,-0.013377767555666553,-0.002996247153923437,-0.015188628877765398,-0.006397161871168233,-0.024754864699645607,0.004517214712907114,-0.013192494231853646,-0.011624498154611307,-0.0027314768502861853,-0.015416844879967528,-0.011713626976915692,-0.0037708505970110995,-0.0414835262308525
