Date,Spread,Z_Score,Volatility,Target_Return,Target_Direction,Pair_ID,Sector
2021-05-12,3.449850924182698,2.187222397917872,1.037421606891697,-0.2829624820026524,0,AIG-CB,financials
2021-05-13,3.1668884421800456,1.6688258316000855,1.1278451122549853,0.593051549475355,1,AIG-CB,financials
2021-05-14,3.7599399916554006,1.8726831292839077,1.2564687156085388,0.12918826563694097,1,AIG-CB,financials
2021-05-17,3.8891282572923416,1.7125160316218515,1.3723467428077243,0.2592062078051498,1,AIG-CB,financials
2021-05-18,4.148334465097491,1.6627675647064895,1.4497101662002254,-0.46570427771188605,0,AIG-CB,financials
2021-05-19,3.6826301873856053,1.2062595954102582,1.4774615695562237,-0.14087405630867522,0,AIG-CB,financials
2021-05-20,3.54175613107693,1.0170613155660417,1.424674167928383,0.5620863944670162,1,AIG-CB,financials
2021-05-21,4.103842525543946,1.2921550244134343,1.3935420571190915,0.5245379346801684,1,AIG-CB,financials
2021-05-24,4.628380460224115,1.4812449468467457,1.4432386962850932,-0.7207139450992202,0,AIG-CB,financials
2021-05-25,3.9076665151248946,0.8907700159922104,1.4587173149536241,0.3910847794658565,1,AIG-CB,financials
2021-05-26,4.298751294590751,1.0513473476121855,1.4979547814992682,0.39771568322998263,1,AIG-CB,financials
2021-05-27,4.696466977820734,1.1860105693298197,1.5188666645252076,-0.0443975549249771,0,AIG-CB,financials
2021-05-28,4.652069422895757,1.0709494816829996,1.4376954061369545,0.2599692260434239,1,AIG-CB,financials
2021-06-01,4.9120386489391805,1.1557104870906778,1.376669741345005,-0.43289234705510893,0,AIG-CB,financials
2021-06-02,4.479146301884072,0.8107359072687491,1.1509828342969466,-0.057072032319027244,0,AIG-CB,financials
2021-06-03,4.422074269565044,0.7229072365595774,0.9576409499744135,-0.009578557410314659,0,AIG-CB,financials
2021-06-04,4.41249571215473,0.6666722955944517,0.8007803794327242,0.5821317392163792,1,AIG-CB,financials
2021-06-07,4.994627451371109,1.5072916578840336,0.6264076909809038,0.05053029354120042,1,AIG-CB,financials
2021-06-08,5.045157744912309,1.4815478549412109,0.5976109154924962,-0.32644354688856225,0,AIG-CB,financials
2021-06-09,4.718714198023747,0.8704423292961292,0.5436502637806706,-0.06656514834011062,0,AIG-CB,financials
2021-06-10,4.652149049683636,0.6704741196979508,0.5168523842033735,-0.0063043216329461416,0,AIG-CB,financials
2021-06-11,4.64584472805069,0.5965849709720618,0.4463471665271556,-0.38359493782768794,0,AIG-CB,financials
2021-06-14,4.262249790223002,-0.3365641678064236,0.42317759878680594,-0.024381761483546427,0,AIG-CB,financials
2021-06-15,4.237868028739456,-0.45189253770597265,0.40771898416650854,0.28665971729154904,1,AIG-CB,financials
2021-06-16,4.524527746031005,0.20741773209585682,0.40307492505188575,-1.0028625075821864,0,AIG-CB,financials
2021-06-17,3.5216652384488185,-2.1682365557585337,0.4202536715361303,-0.657246415477438,0,AIG-CB,financials
2021-06-18,2.8644188229713805,-2.9918618905145133,0.5129210436664353,0.049200405302784134,1,AIG-CB,financials
2021-06-21,2.9136192282741646,-2.3412826662329493,0.6090154656620154,-0.25412642188182133,0,AIG-CB,financials
2021-06-22,2.6594928063923433,-2.2258839580202743,0.7105309271464241,0.11965644966348776,1,AIG-CB,financials
2021-06-23,2.779149256055831,-1.8022861345776662,0.7798301572823817,0.0011000699991470242,1,AIG-CB,financials
2021-06-24,2.780249326054978,-1.5819551065150932,0.8397532306059453,0.45622895923714424,1,AIG-CB,financials
2021-06-25,3.2364782852921223,-0.9409572319857877,0.8493728411219851,-0.11284770729578497,0,AIG-CB,financials
2021-06-28,3.1236305779963374,-0.9720308269162895,0.8596942189661914,-0.3669058516578474,0,AIG-CB,financials
2021-06-29,2.75672472633849,-1.2598060861151201,0.86901424762972,0.04409431445765932,1,AIG-CB,financials
2021-06-30,2.8008190407961493,-1.0910698417286329,0.8860832951270147,-0.12321618115802835,0,AIG-CB,financials
2021-07-01,2.677602859638121,-1.1093241318858649,0.9039480368371473,-0.08495921418388264,0,AIG-CB,financials
2021-07-02,2.5926436454542383,-1.085936518598033,0.9178602662427894,-1.2305225354400378,0,AIG-CB,financials
2021-07-06,1.3621211100142006,-2.0825096889777135,0.9822932451562975,-0.06000622168578218,0,AIG-CB,financials
2021-07-07,1.3021148883284184,-1.8993314642835544,1.0100866096248293,-0.7270061754902173,0,AIG-CB,financials
2021-07-08,0.5751087128382011,-2.2027501316862566,1.1069413391324103,0.6069997924367883,1,AIG-CB,financials
2021-07-09,1.1821085052749893,-1.4955264603487464,1.1085148974890533,0.03943156943691406,1,AIG-CB,financials
2021-07-12,1.2215400747119034,-1.3412645480112075,1.0789568403396819,-0.2393282549906104,0,AIG-CB,financials
2021-07-13,0.982211819721293,-1.4185715499821405,1.0732577537357895,-0.6156041137457322,0,AIG-CB,financials
2021-07-14,0.3666077059755608,-1.7788561922082569,1.0931372762859142,1.0320717869379123,1,AIG-CB,financials
2021-07-15,1.3986794929134732,-0.7736950731324056,0.9773486215953595,-1.2066316594839392,0,AIG-CB,financials
2021-07-16,0.1920478334295339,-1.7695567035638085,1.01512463481749,-0.2722992924842629,0,AIG-CB,financials
2021-07-19,-0.08025145905472897,-1.7594943968412595,1.092010514114957,0.3377292978615003,1,AIG-CB,financials
2021-07-20,0.25747783880677133,-1.3000837925360247,1.115966541442703,0.5151506612131129,1,AIG-CB,financials
2021-07-21,0.7726285000198843,-0.757248599291075,1.111069915214197,-0.11064894285837568,0,AIG-CB,financials
