Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Ridge,0.5068669527896996,0.5106382978723404,0.49104859335038364,0.500651890482399,0.5069763277901443
LSTM,0.4995708154506438,0.5027407987470635,0.5473145780051151,0.5240816326530612,0.5048630928828636
