Stock1,Stock2,P-Value,Cluster,Sector,Hedge_Ratio,Half_Life,Hurst_Exponent,Zero_Crossings
IT,PTC,0.06934,tech_0,tech,1.5966163265479885,41064.49,0.5893,40
HBAN,CFG,0.06959,financials_3,financials,0.2556207393585076,80.13,0.4352,43
PPL,SO,0.07156,utilities_0,utilities,0.2980658031356108,76.54,0.4256,16
CNP,SO,0.07253,utilities_0,utilities,0.3409650052114159,108.53,0.4916,49
ADBE,INTU,0.07262,tech_0,tech,0.26301487663783296,124.7,0.4704,23
IQV,DHR,0.07502,health_care_0,health_care,0.9099546341403882,33.41,0.3759,57
IQV,ZTS,0.07578,health_care_0,health_care,0.8391200344759538,64.4,0.4619,57
KMB,PEP,0.07642,consumer_staples_1,consumer_staples,0.16010803772576576,65.03,0.4015,60
WFC,PNC,0.07723,financials_3,financials,0.4493119121641328,268.05,0.474,15
HBAN,PNC,0.07732,financials_3,financials,0.07695060144592392,51.6,0.329,50
KMB,MDLZ,0.08064,consumer_staples_1,consumer_staples,0.9074248131859736,49.1,0.3694,69
HBAN,KEY,0.08814,financials_3,financials,0.5118541370323559,217.83,0.3858,33
QRVO,TXN,0.0884,tech_1,tech,-0.1530156183285059,29.85,0.41,43
NCLH,CCL,0.08936,consumer_discretionary_2,consumer_discretionary,0.6719774427717995,60.85,0.3715,41
KMB,KO,0.09025,consumer_staples_1,consumer_staples,0.7243916855219027,64.01,0.3791,75
WDAY,CRM,0.09083,information_technology_4,information_technology,0.6561849009178716,34.24,0.3869,73
TFC,PNC,0.09234,financials_3,financials,0.2258152378173138,104.31,0.3317,5
WFC,BAC,0.09261,financials_3,financials,1.8673316945539402,157.6,0.4491,13
ELV,UNH,0.09293,health_care_3,health_care,0.6629276523026236,59.88,0.5212,43
CRM,ROP,0.09362,tech_0,tech,0.7650769725458805,39.62,0.4969,50
TEL,INTC,0.09528,information_technology_3,information_technology,-0.35144843332204767,inf,0.4868,69
TXN,NXPI,0.09638,information_technology_1,information_technology,0.39783540398614803,42.47,0.3806,99
CSX,AME,0.09647,industrials_1,industrials,0.06290194308365363,31.8,0.3741,77
HBAN,BAC,0.09666,financials_3,financials,0.28013029853936455,37.85,0.3813,41
NOW,WDAY,0.09715,information_technology_4,information_technology,0.6604317431524391,136.27,0.4262,9
AEP,XEL,0.09743,utilities_0,utilities,1.6372751668825365,95.5,0.4374,23
ETR,NI,0.09772,utilities_0,utilities,2.326674485208912,35.76,0.4272,56
WFC,TFC,0.09808,financials_3,financials,0.7464039747612177,inf,0.4141,13
HBAN,RF,0.09937,financials_3,financials,0.6712824861258799,34.08,0.3948,43
ETR,EXC,0.09979,utilities_0,utilities,2.299775092596899,255.33,0.5082,12
